“图巴罗”（游戏角色）的爱好习惯是什么	除了踢球，就没有别的爱好																
“杜比利”（游戏角色）的爱好习惯是什么	喜欢在观众面前表演魔术																
“泷”（游戏角色）的爱好习惯是什么	每天都强迫自己遗忘一些事情																
“杜铎”（游戏角色）的爱好习惯是什么	习惯穿着厚厚的礼服																
“莉亚特”（游戏角色）的爱好习惯是什么	有一颗探险之心，喜欢旅游和拍照																
“艾尔”（游戏角色）的爱好习惯是什么	在深海里捕猎海兽是他最大的兴趣																
“丽莎”（游戏角色）的爱好习惯是什么	最喜欢帮助自己的子民																
“蕾拉”（游戏角色）的爱好习惯是什么	跳舞的时候心情会非常愉悦																
“卢卡”（游戏角色）的爱好习惯是什么	由于身体像一团燃烧的火焰，所以特别招虫子，天天都要打虫子																
“梅姬”（游戏角色）的爱好习惯是什么	每天都要做成吨的拳击训练																
“海德”（游戏角色）的爱好习惯是什么	每时每刻都开着他的海盗船到处航行																
“查查”（游戏角色）的爱好习惯是什么	表面上人畜无害，但其实很喜欢恶作剧																
“贝蒂”（游戏角色）的爱好习惯是什么	喜欢早上睡醒之后在海滩上捡贝壳																
“茉莉”（游戏角色）的爱好习惯是什么	晚上如果不写歌的话，那就是在练歌																
“阿帕”（游戏角色）的爱好习惯是什么	很爱炫耀自己操控火焰的能力																
“祁灵”（游戏角色）的爱好习惯是什么	天天都要画符，不画就不开心																
“吕布”（游戏角色）的爱好习惯是什么	爱好就是找人单挑																
“美杜莎”（游戏角色）的爱好习惯是什么	非常喜欢喝咖啡																
对“狮小小”（游戏角色）来说，重要事务是什么	要让吃货组织联盟发扬壮大																
对“提卡”（游戏角色）来说，重要事务是什么	愿光辉赐福于每一位潮灵																
对“冷冷”（游戏角色）来说，重要事务是什么	如果能开一家私人诊所就好了																
对“悟空”（游戏角色）来说，重要事务是什么	想要无拘无束，自由自在																
对“力昂”（游戏角色）来说，重要事务是什么	拥有一套崭新的智能盔甲																
对“琳”（游戏角色）来说，重要事务是什么	开一家免费的点心店，顾客来享用食物都不收任何费用																
对“影”（游戏角色）来说，重要事务是什么	幻想着有朝一日，能学会一种传说中可以把身形融入到影子里的隐身步伐																
对“血刃”（游戏角色）来说，重要事务是什么	希望遇到一个真正懂她的好朋友																
对“轻舞佳人”（游戏角色）来说，重要事务是什么	除了琵琶之外，其实还想学琴																
对“烟火神”（游戏角色）来说，重要事务是什么	王国城堡建得太豪华的话，可是会被炸弹客盯上的哦																
对“泡泡脑”（游戏角色）来说，重要事务是什么	王国城堡建得太豪华的话，可是会被炸弹客盯上的哦																
对“伊林”（游戏角色）来说，重要事务是什么	有点想谈恋爱了嘻嘻																
对“白墩墩”（游戏角色）来说，重要事务是什么	为什么不能将潮灵的大脑都安装成电脑呢																
对“重”（游戏角色）来说，重要事务是什么	守护王国和伙伴是唯一的信念																
对“墩小艺”（游戏角色）来说，重要事务是什么	怎么样才能让熊猫机甲变得更强呢																
对“阿鲁鲁”（游戏角色）来说，重要事务是什么	送敌人上天堂或者下地狱都可以																
对“吉他手”（游戏角色）来说，重要事务是什么	如果你能跟吉他手一样喜欢弹吉他，那这个事情就太酷啦																
对“乔科”（游戏角色）来说，重要事务是什么	希望能在家里装一个自己的篮球架																
对“小小”（游戏角色）来说，重要事务是什么	总感觉那些丢失的记忆对自己非常重要																
对“苏拉”（游戏角色）来说，重要事务是什么	快乐才是生命的全部意义啦																
对“多多”（游戏角色）来说，重要事务是什么	更多更多的钱																
对“菲”（游戏角色）来说，重要事务是什么	走在潮流的最前线																
对“阿瓜”（游戏角色）来说，重要事务是什么	其实是个非常社恐的小孩																
对“牟重重”（游戏角色）来说，重要事务是什么	最重要的当然还是妹妹啦																
对“玻丽”（游戏角色）来说，重要事务是什么	有一个宝贝铺盖卷																
对“卜卜苏利”（游戏角色）来说，重要事务是什么	有一个神秘的狼同伴																
对“牟九九”（游戏角色）来说，重要事务是什么	最重要的当然还是哥哥啦																
对“奇霍”（游戏角色）来说，重要事务是什么	账本可千万不能搞丢了																
对“哈琪”（游戏角色）来说，重要事务是什么	身上埋藏了一个冰雪王国的秘密																
对“图巴罗”（游戏角色）来说，重要事务是什么	跑得像风一样快																
对“杜比利”（游戏角色）来说，重要事务是什么	他的魔术真的只是小把戏吗																
对“泷”（游戏角色）来说，重要事务是什么	看破命运的双眼																
对“杜铎”（游戏角色）来说，重要事务是什么	王国的子民就是他的一切																
对“莉亚特”（游戏角色）来说，重要事务是什么	其实她的本体是红莲骑士																
对“艾尔”（游戏角色）来说，重要事务是什么	在深海区，有一个神秘的海洋生物是他的好伙伴																
对“丽莎”（游戏角色）来说，重要事务是什么	海洋王国的居民都是她的朋友																
对“蕾拉”（游戏角色）来说，重要事务是什么	有一位特殊的朋友——雪精灵																
对“卢卡”（游戏角色）来说，重要事务是什么	是一个傲娇的小朋友																
对“梅姬”（游戏角色）来说，重要事务是什么	赢得机械拳击大赛的冠军才是唯一目标																
对“海德”（游戏角色）来说，重要事务是什么	一定要拿到传说中航海王的宝藏																
对“查查”（游戏角色）来说，重要事务是什么	千万不要让他抓老鼠																
对“贝蒂”（游戏角色）来说，重要事务是什么	希望有一颗大大的大珍珠																
对“茉莉”（游戏角色）来说，重要事务是什么	在各个王国开巡回演唱会																
对“阿帕”（游戏角色）来说，重要事务是什么	其实很懒，老是对组织交代的任务摸鱼																
对“祁灵”（游戏角色）来说，重要事务是什么	不能把他的斗笠摘下来，发型会乱																
对“吕布”（游戏角色）来说，重要事务是什么	心里一直挂念着貂蝉妹妹																
对“美杜莎”（游戏角色）来说，重要事务是什么	经常懒得洗头，因为很难洗																
“狮小小”（游戏角色）的背景故事是什么	"对于狮小小来说，似乎没有什么事情比吃更重要。狮小小喜欢尝试不同口味、不同类型、不同搭配的食物，她甚至成立了一个潮灵王国吃货组织联盟，虽然最开始的成员只有她一个。没有潮灵比狮小小更懂怎么品尝美食了！最初有潮灵还嘲笑她成立的莫名其妙的联盟，可后来，由于狮小小游历各国，把各种美食写到她的美食日记里，她的声名逐渐传开来，越来越多的餐厅邀请她去免费试吃，狮小小“吃货之神”的地位也由此垫定。如今越来越多的潮灵想要加入吃货联盟，但狮小小非常严格。对她来说，吃并不是为了维持生存，也不是满足味蕾，而是找到活着的真正意义。如果有潮灵能请狮小小为他办事，那一定是做了一道非常美味的美食给她，或者两道。"
“提卡”（游戏角色）的背景故事是什么	提卡是天生的怜悯者。据说她身上有神性的光辉和血脉，虽然也有潮灵说神才不在乎低于自己世界的生灵。提卡有着自己的信仰，她相信自己是神的子嗣，那不是一位具体的神，而是世间万物美好的化身。她一直遵循着内心的旨意守护着其他潮灵，疗伤、祭祀是她的日常工作，更多的时候，她会为潮灵带来心灵上的净化。这种净化并不是消除痛苦、选择遗忘，而是接受，包容，且提升自我。潮灵们都很信任且感激提卡的付出，不过对提卡来说，这就是她生来的使命。																
